"id","user_id","active","language","administrator_id"
8,"c08b42bc-faed-4721-ad8f-5848434dbfc0",False,"en",7
10,"e1dcc106-c236-442d-9c1f-679affd7af4b",False,"en",7
12,"f70f4cb4-673a-4bde-8608-f5fd7fdd08ba",False,"en",7
14,"052055e6-f812-45e0-b5cb-fe899fff616e",False,"en",9
16,"ca3f394d-4a1a-4d50-843c-3600c0ebec3f",False,"en",12
9,"798674a4-045d-4397-bf9c-ba8020426386",False,"en",8
11,"de83d31f-f474-467e-8faa-20f587ae817d",False,"en",10
13,"ccbfb938-ae94-4b09-8fb5-82c57db4d08f",False,"en",8
15,"f21e0fe8-ac30-4617-a249-8eec26ab4b4d",False,"en",9
1020,"94fade75-97a3-449b-b6f5-332e663a45fc",True,"en",104
1022,"92eeb81e-d0b2-4028-a0ad-f19631d7afa0",True,"en",102
17,"dc9af53a-b1ce-463f-88a2-019eb36c462f",False,"en",12
19,"5694fa00-0125-4670-87d4-028fb13d01c4",False,"en",8
20,"8726503a-9137-48d0-94ca-26bb204a8a38",False,"en",8
21,"879c769f-271a-4735-9413-71a07f00a75f",False,"en",8
22,"cd6287bc-b2d7-49e7-b0a0-4511a0428767",False,"en",8
23,"5451cd60-aa3c-4b23-9408-de04ff5ec9c2",False,"en",8
24,"59677b1f-e144-4115-95c3-63ade8425190",False,"en",8
25,"bb00f9ca-fd65-486b-bed7-57c4df793f9a",False,"en",8
26,"24b8f3f7-9ef7-4d89-8a5b-98c002d7d372",False,"en",8
27,"fd9ce9b9-d987-45db-abd8-a5bdcd81dafe",False,"en",12
30,"5fdb7dca-40b7-4e52-81a5-bd762be984d1",False,"en",8
31,"d48af5ea-af63-4825-992a-e85c406f6552",False,"en",12
34,"99badf71-ba14-4c9f-8d35-e7d0ac0dc58e",False,"en",8
28,"3d2be17f-e9f4-4b09-ac4f-07367a9f2c69",False,"en",12
18,"4cc38e10-f1ab-4c81-8325-3b24c5e6777f",False,"en",12
29,"9a78f4b5-ee50-45bd-9e7b-a779b511f994",False,"en",12
32,"db50d2fe-8de2-42b8-8788-5fe5db5e28e0",False,"en",12
102,"01623d36-0d7a-42ba-a8b3-d5aab57d2f95",True,"en",101
103,"8eac277a-abeb-42c4-9628-c52ed0257d53",True,"en",101
107,"5bd78c46-f99b-440c-b370-941d9e22ef17",True,"en",102
1021,"21a1d24f-d092-4db4-9fa1-c744bf847771",False,"en",104
35,"55a3c391-a2f2-4e54-b990-02581b92337d",False,"en",8
33,"ba8adedf-db59-4418-a4c0-fc63dad7f6b3",False,"en",8
36,"08ffd40b-5984-4843-8772-d2778fe31c4e",False,"en",8
37,"d4575532-1acc-4a02-b548-72f9230f28c9",True,"en",105
38,"d44cba45-3a01-471b-bc44-ff1bc30024a5",True,"en",105
39,"48cd5064-4ccf-4119-9477-7fb687efdfe2",True,"en",105
2015,"32fedb8c-1e43-4810-9120-2a90b9af031e",False,"en",208
2016,"d5bf0302-e455-4d97-bcd2-3cba35e2e171",False,"en",209
2017,"95806f97-702a-4085-aafc-134b13ebb865",False,"en",211
2019,"85b11f4e-fb62-4464-b808-364f958c067c",False,"en",214
2023,"9762b1fc-e58a-4c81-8a88-12f9675fd742",False,"en",207
2013,"649c92b3-8f77-430d-a99a-3135c1a3979b",False,"en",204
2024,"27e7553c-e4b7-454b-8484-71aeb34aa807",False,"en",213
2018,"4580b7c4-4076-4aa7-a9fc-a63844b28de5",False,"en",213
40,"17ba4487-2297-45c2-be5e-57592dea3093",False,"en",8
41,"a954f967-0554-483c-a039-c7aeae4f43ca",False,"en",8
42,"2b953955-507a-4fde-9450-59d10bf124e9",False,"en",8
43,"b9b9a024-95f3-4f81-85c2-376e20970915",False,"en",12
44,"d4bb438c-1964-4570-846d-fe1bae54e1d7",False,"en",102
45,"4c3b2612-2824-4ecf-a58e-cc9a269da001",False,"en",102
46,"36c231d0-d50e-4cbd-9aee-4a2904558e86",False,"en",14
